Date,Price
Apr-93,1.078
May-93,1.1
Jun-93,1.097
Jul-93,1.078
Aug-93,1.062
Sep-93,1.05
Oct-93,1.092
Nov-93,1.066
Dec-93,1.014
Jan-94,0.998
Feb-94,1.009
Mar-94,1.008
Apr-94,1.027
May-94,1.047
Jun-94,1.078
Jul-94,1.106
Aug-94,1.155
Sep-94,1.144
Oct-94,1.114
Nov-94,1.119
Dec-94,1.129
Jan-95,1.13
Feb-95,1.12
Mar-95,1.119
Apr-95,1.157
May-95,1.225
Jun-95,1.239
Jul-95,1.201
Aug-95,1.17
Sep-95,1.158
Oct-95,1.134
Nov-95,1.109
Dec-95,1.118
Jan-96,1.137
Feb-96,1.136
Mar-96,1.183
Apr-96,1.275
May-96,1.324
Jun-96,1.3
Jul-96,1.272
Aug-96,1.251
Sep-96,1.247
Oct-96,1.249
Nov-96,1.278
Dec-96,1.282
Jan-97,1.283
Feb-97,1.276
Mar-97,1.251
Apr-97,1.244
May-97,1.245
Jun-97,1.242
Jul-97,1.22
Aug-97,1.268
Sep-97,1.276
Oct-97,1.242
Nov-97,1.216
Dec-97,1.177
Jan-98,1.132
Feb-98,1.096
Mar-98,1.064
Apr-98,1.077
May-98,1.105
Jun-98,1.103
Jul-98,1.094
Aug-98,1.065
Sep-98,1.049
Oct-98,1.059
Nov-98,1.036
Dec-98,0.987
Jan-99,0.98
Feb-99,0.962
Mar-99,1.022
Apr-99,1.171
May-99,1.171
Jun-99,1.154
Jul-99,1.197
Aug-99,1.26
Sep-99,1.295
Oct-99,1.285
Nov-99,1.292
Dec-99,1.313
Jan-00,1.329
Feb-00,1.415
Mar-00,1.556
Apr-00,1.506
May-00,1.526
Jun-00,1.666
Jul-00,1.591
Aug-00,1.506
Sep-00,1.588
Oct-00,1.571
Nov-00,1.557
Dec-00,1.483
Jan-01,1.487
Feb-01,1.49
Mar-01,1.45
Apr-01,1.591
May-01,1.738
Jun-01,1.658
Jul-01,1.466
Aug-01,1.461
Sep-01,1.557
Oct-01,1.357
Nov-01,1.212
Dec-01,1.127
Jan-02,1.148
Feb-02,1.155
Mar-02,1.289
Apr-02,1.439
May-02,1.434
Jun-02,1.424
Jul-02,1.438
Aug-02,1.438
Sep-02,1.441
Oct-02,1.486
Nov-02,1.461
Dec-02,1.429
Jan-03,1.5
Feb-03,1.655
Mar-03,1.734
Apr-03,1.633
May-03,1.539
Jun-03,1.533
Jul-03,1.554
Aug-03,1.661
Sep-03,1.721
Oct-03,1.606
Nov-03,1.555
Dec-03,1.522
Jan-04,1.614
Feb-04,1.69
Mar-04,1.778
Apr-04,1.839
May-04,2.023
Jun-04,2.013
Jul-04,1.954
Aug-04,1.92
Sep-04,1.912
Oct-04,2.042
Nov-04,2.023
Dec-04,1.887
Jan-05,1.875
Feb-05,1.953
Mar-05,2.12
Apr-05,2.285
May-05,2.205
Jun-05,2.198
Jul-05,2.333
Aug-05,2.529
Sep-05,2.951
Oct-05,2.765
Nov-05,2.303
Dec-05,2.229
Jan-06,2.36
Feb-06,2.326
Mar-06,2.468
Apr-06,2.787
May-06,2.953
Jun-06,2.93
Jul-06,3.025
Aug-06,2.999
Sep-06,2.606
Oct-06,2.293
Nov-06,2.275
Dec-06,2.359
Jan-07,2.289
Feb-07,2.323
Mar-07,2.609
Apr-07,2.891
May-07,3.187
Jun-07,3.102
Jul-07,3.011
Aug-07,2.834
Sep-07,2.849
Oct-07,2.853
Nov-07,3.128
Dec-07,3.07
Jan-08,3.095
Feb-08,3.078
Mar-08,3.293
Apr-08,3.507
May-08,3.815
Jun-08,4.105
Jul-08,4.114
Aug-08,3.833
Sep-08,3.756
Oct-08,3.112
Nov-08,2.208
Dec-08,1.745
Jan-09,1.84
Feb-09,1.975
Mar-09,2.011
Apr-09,2.102
May-09,2.316
Jun-09,2.681
Jul-09,2.582
Aug-09,2.67
Sep-09,2.609
Oct-09,2.605
Nov-09,2.706
Dec-09,2.663
Jan-10,2.769
Feb-10,2.699
Mar-10,2.824
Apr-10,2.9
