Area Name,total_poverty_status,Percent_below_poverty_level
ZCTA5 98001,31596,10.6
ZCTA5 98002,33867,25.8
ZCTA5 98003,45011,18.5
ZCTA5 98004,31120,8
ZCTA5 98005,17859,6.9
ZCTA5 98006,36978,5
ZCTA5 98007,25506,12.2
ZCTA5 98008,24273,8
ZCTA5 98010,4722,6.2
ZCTA5 98011,30707,8.3
ZCTA5 98012,53737,6.2
ZCTA5 98014,6891,6.4
ZCTA5 98019,10770,8.2
ZCTA5 98020,19006,8.6
ZCTA5 98021,28466,4
ZCTA5 98022,21082,11
ZCTA5 98023,49011,13.1
ZCTA5 98024,5986,7.1
ZCTA5 98026,35883,8
ZCTA5 98027,26982,5.6
ZCTA5 98028,21083,10
ZCTA5 98029,26063,3.5
ZCTA5 98030,34839,22.9
ZCTA5 98031,36784,13.2
ZCTA5 98032,35112,20.4
ZCTA5 98033,35090,5.3
ZCTA5 98034,41887,7.1
ZCTA5 98036,36972,12.2
ZCTA5 98037,27325,11.7
ZCTA5 98038,33921,6
ZCTA5 98039,3074,3.6
ZCTA5 98040,23545,4.3
ZCTA5 98042,44429,7
ZCTA5 98043,20237,9.5
ZCTA5 98045,14587,9.9
ZCTA5 98047,6379,16.6
ZCTA5 98050,208,0
ZCTA5 98051,3390,7.3
ZCTA5 98052,60671,7.2
ZCTA5 98053,20708,2.7
ZCTA5 98055,21399,9.9
ZCTA5 98056,33754,11.1
ZCTA5 98057,12024,21
ZCTA5 98058,42577,9
ZCTA5 98059,36391,6.2
ZCTA5 98065,12904,1.3
ZCTA5 98068,238,5
ZCTA5 98070,10313,6.4
ZCTA5 98072,22411,4.2
ZCTA5 98074,26386,3.8
ZCTA5 98075,22385,1.9
ZCTA5 98077,14136,4.4
ZCTA5 98087,32621,11.8
ZCTA5 98092,40396,10
ZCTA5 98101,10674,18.9
ZCTA5 98102,22748,9.2
ZCTA5 98103,47380,8.6
ZCTA5 98104,11364,32.9
ZCTA5 98105,36262,31.1
ZCTA5 98106,24939,16.9
ZCTA5 98107,22745,7.8
ZCTA5 98108,23945,20.4
ZCTA5 98109,22274,8.7
ZCTA5 98110,23026,5.6
ZCTA5 98112,22109,7.4
ZCTA5 98115,48316,9.7
ZCTA5 98116,23591,7.4
ZCTA5 98117,31573,5.2
ZCTA5 98118,44077,22.2
ZCTA5 98119,21489,9
ZCTA5 98121,12368,16.9
ZCTA5 98122,32216,18.4
ZCTA5 98125,37362,15.9
ZCTA5 98126,21255,17.3
ZCTA5 98133,45524,15.7
ZCTA5 98134,803,48.6
ZCTA5 98136,15226,6
ZCTA5 98144,27012,14.9
ZCTA5 98146,25463,16.7
ZCTA5 98148,10172,17.4
ZCTA5 98154,0,-
ZCTA5 98155,33329,9.4
ZCTA5 98158,0,-
ZCTA5 98164,73,17.8
ZCTA5 98166,21081,13.3
ZCTA5 98168,33311,23.8
ZCTA5 98174,72,88.9
ZCTA5 98177,18805,5.5
ZCTA5 98178,23822,15.6
ZCTA5 98188,24341,20.3
ZCTA5 98195,0,-
ZCTA5 98198,34404,16.9
ZCTA5 98199,20434,4
ZCTA5 98201,27303,22.2
ZCTA5 98203,34644,14.9
ZCTA5 98204,40847,22.4
ZCTA5 98205,11922,7.6
ZCTA5 98207,0,-
ZCTA5 98208,53257,7.9
ZCTA5 98220,733,24.3
ZCTA5 98221,20329,9.7
ZCTA5 98222,53,13.2
ZCTA5 98223,40777,10
ZCTA5 98224,261,14.2
ZCTA5 98225,42508,27.9
ZCTA5 98226,41159,13.4
ZCTA5 98229,31424,15.4
ZCTA5 98230,15967,10.8
ZCTA5 98232,3568,1.7
ZCTA5 98233,14103,15.7
ZCTA5 98235,46,23.9
ZCTA5 98236,5838,6.9
ZCTA5 98237,4009,15.4
ZCTA5 98238,12,0
ZCTA5 98239,6826,12.3
ZCTA5 98240,2845,6.1
ZCTA5 98241,2156,20
ZCTA5 98243,397,12.6
ZCTA5 98244,2896,18.6
ZCTA5 98245,3728,13.2
ZCTA5 98247,10425,11.2
ZCTA5 98248,22670,13.7
ZCTA5 98249,4378,8.1
ZCTA5 98250,7617,9
ZCTA5 98251,4720,10.6
ZCTA5 98252,9167,4.2
ZCTA5 98253,1776,7.8
ZCTA5 98255,196,43.9
ZCTA5 98256,510,24.7
ZCTA5 98257,4097,17.2
ZCTA5 98258,31781,8.2
ZCTA5 98260,5486,13.8
ZCTA5 98261,2484,17.2
ZCTA5 98262,1079,5.7
ZCTA5 98263,60,0
ZCTA5 98264,17927,7.6
ZCTA5 98266,3983,25.6
ZCTA5 98267,516,28.7
ZCTA5 98270,46863,10.7
ZCTA5 98271,27542,9.9
ZCTA5 98272,25914,9
ZCTA5 98273,29413,19.3
ZCTA5 98274,16688,12.6
ZCTA5 98275,20582,5.8
ZCTA5 98276,618,9.5
ZCTA5 98277,37486,10.9
ZCTA5 98278,0,-
ZCTA5 98279,610,8.4
ZCTA5 98280,364,8
ZCTA5 98281,1323,17.1
ZCTA5 98282,15178,6.3
ZCTA5 98283,503,45.3
ZCTA5 98284,24390,16
ZCTA5 98286,221,11.3
ZCTA5 98288,165,32.1
ZCTA5 98290,32508,8
ZCTA5 98292,21267,10.2
ZCTA5 98294,6621,13
ZCTA5 98295,2434,8.1
ZCTA5 98296,29280,5.9
ZCTA5 98297,68,4.4
ZCTA5 98303,877,3.6
ZCTA5 98304,561,27.3
ZCTA5 98305,234,30.3
ZCTA5 98310,19160,16.9
ZCTA5 98311,26537,8.3
ZCTA5 98312,30985,15.1
ZCTA5 98314,113,0
ZCTA5 98315,4400,9
ZCTA5 98320,1263,21.7
ZCTA5 98321,14165,9.2
ZCTA5 98323,600,16.8
ZCTA5 98325,1607,5.4
ZCTA5 98326,433,52.2
ZCTA5 98327,9006,4.9
ZCTA5 98328,9504,8.2
ZCTA5 98329,10519,9
ZCTA5 98330,167,60.5
ZCTA5 98331,5584,19.8
ZCTA5 98332,15201,5.3
ZCTA5 98333,3556,7.1
ZCTA5 98335,25322,5.8
ZCTA5 98336,866,25.4
ZCTA5 98337,5784,30.1
ZCTA5 98338,24164,7.8
ZCTA5 98339,2895,18.6
ZCTA5 98340,2572,6.8
ZCTA5 98342,1416,11.2
ZCTA5 98345,535,0
ZCTA5 98346,10387,5.6
ZCTA5 98349,4414,11.5
ZCTA5 98350,435,34.3
ZCTA5 98351,987,21
ZCTA5 98353,24,0
ZCTA5 98354,7172,6.3
ZCTA5 98355,563,10.3
ZCTA5 98356,1923,16.6
ZCTA5 98357,1595,17.4
ZCTA5 98358,1218,8.9
ZCTA5 98359,4424,14.5
ZCTA5 98360,11693,9.7
ZCTA5 98361,1043,3.5
ZCTA5 98362,22119,14.4
ZCTA5 98363,13780,21.6
ZCTA5 98364,121,0
ZCTA5 98365,4491,8.6
ZCTA5 98366,32057,13.4
ZCTA5 98367,27453,9.9
ZCTA5 98368,14867,12.2
ZCTA5 98370,28265,7.9
ZCTA5 98371,19572,9.3
ZCTA5 98372,22706,10.1
ZCTA5 98373,23006,9.8
ZCTA5 98374,38395,7.2
ZCTA5 98375,28945,11.2
ZCTA5 98376,1837,11.4
ZCTA5 98377,1768,17.3
ZCTA5 98380,5017,1.9
ZCTA5 98381,411,10.9
ZCTA5 98382,26812,10.7
ZCTA5 98383,20664,10.1
ZCTA5 98385,395,25.3
ZCTA5 98387,44208,11
ZCTA5 98388,6158,10.3
ZCTA5 98390,10373,11.4
ZCTA5 98391,45615,8.2
ZCTA5 98392,3008,11.1
ZCTA5 98394,1525,6.6
ZCTA5 98396,609,5.6
ZCTA5 98402,5124,31.2
ZCTA5 98403,7918,13.7
ZCTA5 98404,33067,27.8
ZCTA5 98405,23231,19.7
ZCTA5 98406,21085,12.7
ZCTA5 98407,20238,11.6
ZCTA5 98408,18505,16.8
ZCTA5 98409,23050,18
ZCTA5 98416,0,-
ZCTA5 98418,9990,24.8
ZCTA5 98421,0,-
ZCTA5 98422,20265,6.9
ZCTA5 98424,10286,13.5
ZCTA5 98430,20,0
ZCTA5 98433,14162,10.7
ZCTA5 98438,16,0
ZCTA5 98439,5544,21.7
ZCTA5 98443,5524,5.8
ZCTA5 98444,34526,21.8
ZCTA5 98445,30049,9.5
ZCTA5 98446,9849,9.9
ZCTA5 98447,0,-
ZCTA5 98465,6486,9.2
ZCTA5 98466,26251,10.3
ZCTA5 98467,15724,12.1
ZCTA5 98498,26469,12.7
ZCTA5 98499,29976,23.4
ZCTA5 98501,40354,8.2
ZCTA5 98502,29406,16.5
ZCTA5 98503,35942,13.4
ZCTA5 98506,18000,12.9
ZCTA5 98512,27899,10.9
ZCTA5 98513,33648,8.9
ZCTA5 98516,21659,10.4
ZCTA5 98520,21170,20.8
ZCTA5 98524,3477,7.7
ZCTA5 98526,277,23.1
ZCTA5 98527,204,15.2
ZCTA5 98528,8950,17.9
ZCTA5 98530,522,32
ZCTA5 98531,23379,22.7
ZCTA5 98532,23513,12.3
ZCTA5 98533,764,20.5
ZCTA5 98535,461,15
ZCTA5 98536,169,66.3
ZCTA5 98537,2121,14
ZCTA5 98538,225,19.1
ZCTA5 98541,10164,18.7
ZCTA5 98542,459,11.1
ZCTA5 98544,0,-
ZCTA5 98546,3297,11.9
ZCTA5 98547,1086,24.7
ZCTA5 98548,2371,17.1
ZCTA5 98550,11207,23.6
ZCTA5 98552,619,20
ZCTA5 98555,336,14.6
ZCTA5 98557,3137,17.7
ZCTA5 98558,94,28.7
ZCTA5 98559,157,100
ZCTA5 98560,201,0
ZCTA5 98562,73,0
ZCTA5 98563,7942,11.8
ZCTA5 98564,2385,16.4
ZCTA5 98565,516,3.5
ZCTA5 98568,2784,18.6
ZCTA5 98569,5923,8.2
ZCTA5 98570,4161,10.2
ZCTA5 98571,293,0
