DATE,WASTHPI
2005-01-01,374.68
2005-04-01,394.65
2005-07-01,412.18
2005-10-01,429.43
2006-01-01,444.76
2006-04-01,460.14
2006-07-01,473.72
2006-10-01,483.91
2007-01-01,492.6
2007-04-01,498.18
2007-07-01,499.48
2007-10-01,502.24
2008-01-01,500.9
2008-04-01,491.04
2008-07-01,476.47
2008-10-01,471.44
2009-01-01,467.75
2009-04-01,447.8
2009-07-01,432.95
2009-10-01,427.12
2010-01-01,419.73
2010-04-01,414.93
2010-07-01,414.81
2010-10-01,407.43
2011-01-01,393.77
2011-04-01,383.8
2011-07-01,384.98
2011-10-01,385.32
2012-01-01,379.11
2012-04-01,375.87
2012-07-01,382.71
2012-10-01,387.35
2013-01-01,390.1
2013-04-01,397.31
2013-07-01,405.7
2013-10-01,409.67
2014-01-01,414.14
2014-04-01,425.08
2014-07-01,434.36
2014-10-01,438.7
2015-01-01,444.65
2015-04-01,457.73
2015-07-01,470.47
2015-10-01,478.45
2016-01-01,487.96
