"","full_name","castaway_id","castaway","version","version_season","season_name","season","age","city","state","episode","day","order","result","jury_status","original_tribe","date_of_birth","date_of_death","gender","race","ethnicity","poc","occupation","personality_type","screen_time_ep1","confessional_count_ep1","ncontestants","age_group","OUT"
"1","Aaron Knight","AU0034","AK","AU","AU02","Survivor Australia: 2017",2,29,"Adelaide","SA",12,28,10,"10th voted out",NA,"Samatau",NA,NA,"Male",NA,NA,NA,"Wedding DJ",NA,NA,5,24,"26-29",NA
"2","Aaron Meredith","US0580","Aaron","US","US39","Survivor: Island of the Idols",39,36,"Warwick","Rhode Island",9,27,10,"10th voted out","4th jury member","Lairo",1982-12-16,NA,"Male","Black",NA,"POC","Gym Owner","ESTJ",NA,3,20,"35-39",NA
"3","Aaron Reisberger","US0226","Aaron","US","US15","Survivor: China",15,32,"Venice","California",5,15,5,"5th voted out",NA,"Fei Long",1975-04-25,NA,"Male",NA,NA,"White","Surfing Instructor","ISTJ",NA,2,16,"30-34",NA
"4","Abbey Holmes","AU0091","Abbey","AU","AU04","Survivor Australia: Champions vs. Contenders (2019)",4,28,"Melbourne","VIC",22,46,21,"20th voted out","7th jury member","Champions",1991-01-07,NA,"Female",NA,NA,NA,"AFL Premiership Winner",NA,NA,1,25,"26-29",NA
"5","Abbey Holmes","AU0091","Abbey","AU","AU05","Survivor Australia: All Stars",5,28,"Melbourne","Victoria",7,16,6,"6th voted out",NA,"Mokuta",1991-01-07,NA,"Female",NA,NA,NA,"AFL Premiership Winner",NA,NA,0,24,"26-29",NA
"6","Abi-Maria Gomes","US0383","Abi-Maria","US","US25","Survivor: Philippines",25,32,"Los Angeles","California",13,36,14,"13th voted out","7th jury member","Tandang",1979-10-21,NA,"Female","Brazilian","Hispanic or Latino","POC","Business Student","ESFP",NA,1,18,"30-34",NA
"7","Abi-Maria Gomes","US0383","Abi-Maria","US","US31","Survivor: Cambodia",31,35,"Los Angeles","California",13,35,14,"13th voted out","7th jury member","Ta Keo",1979-10-21,NA,"Female","Brazilian","Hispanic or Latino","POC","Business Student","ESFP",NA,6,20,"30-34",NA
"8","Ace Gordon","US0254","Ace","US","US17","Survivor: Gabon",17,27,"Naples","Florida",6,21,7,"7th voted out",NA,"Kota",1980-09-03,NA,"Male",NA,NA,"White","Jewelry Sales and Photographer","INTJ",NA,3,18,"26-29",NA
"9","Adam Gentry","US0198","Adam","US","US13","Survivor: Cook Islands",13,28,"San Diego","California",15,37,16,"16th voted out","8th jury member","Rarotonga",1978-08-21,NA,"Male","White",NA,"White","Copier Sales","ESTP",NA,2,20,"26-29",NA
"10","Adam Klein","US0498","Adam","US","US40","Survivor: Winners at War",40,28,"Los Angeles","California",9,23,11,"11th voted out","8th jury member","Sele",1991-01-15,NA,"Male","White","Jewish","White","Homeless Shelter Manager;Keynote Speaker and Host","ENTP",NA,4,22,"26-29",NA
